語言偵測: zh (機率: 1.00)
[1686.55s -> 1687.37s] 你越成功
[1687.37s -> 1688.03s] 所以說
[1688.03s -> 1690.73s] 草莉來一點好無條件給你趕
[1690.73s -> 1692.39s] 大高地也要走危機
[1696.87s -> 1698.57s] 產品那麼好
[1698.57s -> 1699.59s] 失業那麼棒
[1699.59s -> 1703.71s] 那錢怎麼賺你用什麼發生就是要賺錢發生嘛
[1703.71s -> 1705.85s] 那你失業的總收了一
[1705.85s -> 1707.19s] 領收利盒
[1707.19s -> 1709.49s] 就是說你進屋一百塊
[1709.49s -> 1711.27s] 那你賣一百二十塊
[1711.27s -> 1713.67s] 那二十塊就是你的領收利盒
[1713.67s -> 1716.11s] 那再來我們有業績獎金5%
[1716.11s -> 1717.33s] 至三十五%
[1717.33s -> 1720.37s] 那如果單單只是這兩項都沒收到公利盒會干嘛
[1720.37s -> 1723.21s] 點嘛那兩項重點是在領導獎金
[1723.21s -> 1725.21s] 就是你展現的收益
[1725.21s -> 1727.17s] 沒發生就是要靠這個
[1727.17s -> 1729.59s] 就是說如果你培養一位朋友
[1729.59s -> 1731.05s] 朋友成為金
[1731.05s -> 1733.33s] 那就是你等於你開了一家店
[1733.33s -> 1735.91s] 那你的收入就有三至五萬
[1735.91s -> 1738.39s] 那你如果你培養三位朋友成為金
[1738.39s -> 1740.31s] 那就等於你開了三家店
[1740.31s -> 1742.81s] 那你的收入就有六至八萬
[1742.81s -> 1746.21s] 那五位朋友那五家店就有十至十二萬
[1746.21s -> 1747.51s] 已經沒收盤
[1747.51s -> 1748.79s] 你來幾根公司
[1748.79s -> 1749.87s] 變成一體獎金
[1749.87s -> 1750.95s] 做個強定
[1750.95s -> 1754.55s] 這個中原利盒沒有十到十二萬
[1754.55s -> 1755.81s] 但是在這裡
[1755.81s -> 1757.67s] 你只要長五家店你就
[1758.15s -> 1759.53s] 十至十二萬
[1759.53s -> 1762.15s] 如果你培養七位朋友
[1762.15s -> 1765.13s] 就等於你開七家店你的收入就有二十萬
[1765.13s -> 1767.05s] 不是這樣而已你可以更努力
[1767.05s -> 1770.39s] 培養九位朋友是一位朋友是三位朋友
[1770.39s -> 1773.73s] 就你四十萬八十萬一百萬
[1773.73s -> 1774.59s] 所以說
[1774.59s -> 1777.41s] 來他們有局限時候你只能開幾家婚店
[1777.41s -> 1780.61s] 你可以更努力你的氣屠心如果夠的話
[1780.61s -> 1782.21s] 你可以開五十家
[1782.21s -> 1784.09s] 可以開一百家
[1784.09s -> 1787.63s] 越入千萬年收商業這都不是夢
[1788.81s -> 1791.97s] 那我們不只可以賺錢我們還有福利
[1791.97s -> 1793.41s] 有什麼福利呢
[1793.41s -> 1795.49s] 海外旅游一年有兩次
[1795.49s -> 1800.21s] 當你達到福利幾次要上市公司會開始累盡你的海外旅游
[1800.21s -> 1801.69s] 如果你符合標準
[1801.69s -> 1804.35s] 就會找到你們夫妻兩到趙雲金的國家
[1804.35s -> 1806.49s] 做5天失業的海外旅游
[1806.49s -> 1809.39s] 如果你開了七家店
[1809.39s -> 1813.15s] 再同年度公司會再一次遭到的人夫妻兩
[1813.15s -> 1815.05s] 再一次的海外旅游的習公好
[1815.05s -> 1818.53s] 立法開七家店幾年五能高海外旅游的機會
[1818.53s -> 1821.07s] 這在外面覺得覺得是找不到的
[1821.07s -> 1822.21s] 你一個三幫主
[1822.21s -> 1824.11s] 輕輕輕輕輕輕輕輕輕輕輕輕輕輕輕輕輕輕輕
[1824.11s -> 1826.31s] 好不容易進去鍋子有沒有就過去投籤
[1826.31s -> 1828.81s] 你把錢干嘛給一個靠心事業
[1828.81s -> 1830.37s] 老虎雞讓我們出去投籤
[1830.37s -> 1832.71s] 一會兒一起上市就不見得有時間
[1832.71s -> 1837.97s] 但是在船和裡面只要你認證評你就有機會一年晚兩次
[1837.97s -> 1842.09s] 那不只這樣我們還有證百萬名車四年一步
[1842.09s -> 1844.21s] 就是說如果你轉了七家店
[1844.21s -> 1846.29s] 公司會不一百萬的獎金
[1846.29s -> 1848.51s] 讓你去買你所喜歡的車
[1848.51s -> 1850.61s] 那公司現在也很人心話
[1850.61s -> 1855.41s] 他卡狼到說我們家家貨物幾乎都有車的或許你不需要車
[1855.41s -> 1857.53s] 那一百萬你肯定火運用
[1857.53s -> 1858.83s] 你快要洗杯台杯廚
[1858.83s -> 1860.77s] 洗杯草骨給我去洗頭弄完一下
[1860.77s -> 1864.93s] 如果四年再都符合資格一樣再給你一百萬
[1864.93s -> 1866.77s] 你被阿諾開清查力
[1867.31s -> 1869.27s] 那年中想紅力
[1869.27s -> 1871.23s] 一個不用投資的事業
[1871.23s -> 1873.19s] 你只要轉七家店
[1873.19s -> 1875.73s] 在年中的時候公司會播紅力
[1875.73s -> 1878.43s] 轉七家店以上的朋友分享
[1878.43s -> 1879.95s] 談工去幫忙包
[1879.95s -> 1882.25s] 足夠過年你戴全家人出去玩
[1882.25s -> 1883.29s] 購化忙包
[1883.29s -> 1884.73s] 接動需要高
[1884.73s -> 1886.81s] 那就是繼承
[1886.81s -> 1888.65s] 這算是最迷人的地方
[1888.65s -> 1890.75s] 你可以把你所努力的成功
[1890.75s -> 1892.87s] 傳承給你的下一代
[1892.87s -> 1894.59s] 讓你的下一代有續計
[1894.59s -> 1896.19s] 征工利的抵向後輸掉
[1896.75s -> 1896.83s] 對
[1896.83s -> 1899.63s] 變成了七個歸回來的情況
[1899.63s -> 1900.39s] 挖完之後
[1900.39s -> 1904.01s] 那你可以把你的資業傳承給你的下一代
[1904.01s -> 1906.31s] 讓你的下一代有續計你下去
[1906.31s -> 1907.25s] 向我女兒
[1907.25s -> 1909.13s] 他今年二十歲
[1909.13s -> 1909.91s] 他就是一個
[1909.91s -> 1911.63s] 想法很利的
[1911.63s -> 1913.65s] 很定類的女孩子
[1913.65s -> 1915.41s] 他也喜歡小孩子
[1915.41s -> 1917.45s] 一定剛剛搞五個要先升功
[1917.45s -> 1919.07s] 我要升六個孩子
[1919.07s -> 1920.57s] 我最傻要升六個
[1920.57s -> 1924.03s] 六個是最傻的
[1924.03s -> 1925.19s] 我自己的後輸了
[1925.19s -> 1926.35s] 我被誰輸了
[1926.35s -> 1928.07s] 我女生那麼多幹嘛
[1928.89s -> 1930.13s] 我就是喜歡小孩子
[1930.13s -> 1931.49s] 我就是要升小孩子
[1931.49s -> 1932.51s] 那我就跟他說
[1932.51s -> 1933.05s] 沒有
[1933.05s -> 1934.43s] 你不要升那麼多
[1934.43s -> 1935.05s] 你狗狼
[1935.05s -> 1936.13s] 你可以升一下子
[1936.13s -> 1937.09s] 你狗狗我趕快去洗
[1937.09s -> 1937.99s] 給你找回來
[1937.99s -> 1939.33s] 你都趕快去開機
[1939.33s -> 1940.13s] 還說沒有
[1940.13s -> 1941.45s] 幫忙轉解給我
[1941.45s -> 1942.59s] 那你升十二個
[1942.59s -> 1944.13s] 你要養到什麼時候
[1944.13s -> 1945.27s] 我不要再會面臣
[1945.27s -> 1946.99s] 還只打雙二生孩子
[1946.99s -> 1947.91s] 你奶奶在數個
[1949.49s -> 1951.03s] 你喜歡小孩子
[1951.03s -> 1952.69s] 你去擋右保教室
[1952.69s -> 1953.07s] 沒關係
[1953.07s -> 1953.63s] 你自己走
[1953.63s -> 1954.93s] 這裡幹也看回
[1954.93s -> 1956.15s] 我們不來有
[1956.15s -> 1957.13s] 五眼來洗一乾
[1957.13s -> 1959.13s] 爸爸媽媽來雙二學習
[1959.13s -> 1960.89s] 認真在這裡洗一乾
[1960.89s -> 1961.93s] 對我
[1961.93s -> 1962.21s] 你哪
[1962.21s -> 1964.17s] 告訴別人
[1964.17s -> 1965.31s] 做到婦裡
[1965.31s -> 1965.91s] 一個月
[1965.91s -> 1967.41s] 公司就會補一彎二
[1967.41s -> 1969.47s] 兩彎是三個
[1969.47s -> 1970.39s] 就上彎六人
[1970.39s -> 1971.45s] 我立即在這裡
[1971.45s -> 1972.63s] 也都居然洗一彎
[1972.63s -> 1974.31s] 那就給誰
[1974.31s -> 1976.07s] 負擋那麼大的
[1976.07s -> 1976.63s] 所以說
[1976.63s -> 1978.57s] 上彎是一個很明人
[1978.57s -> 1979.87s] 地方就是可以傳承
[1979.87s -> 1980.49s] 可以繼承
[1981.21s -> 1982.53s] 一切成功者的
[1982.53s -> 1983.49s] 第二代都已經出來
[1983.49s -> 1984.75s] 每個都非常非常的
[1984.75s -> 1985.55s] 又需要說
[1985.55s -> 1986.45s] 我們趕快去
[1986.45s -> 1987.61s] 眼頭來回想
[1987.61s -> 1989.83s] 因為這真的是一個很好的
[1989.83s -> 1990.61s] 環境
[1990.61s -> 1992.63s] 那除了繼承之外
[1993.19s -> 1995.53s] 我那要先先曾經跟我說過了
[1995.53s -> 1997.63s] 賺錢的方式有很多種
[1998.37s -> 1999.47s] 可是為主在
[1999.47s -> 2001.87s] 還可以讓你同時用有
[2001.87s -> 2003.89s] 堅錢世界一起健康
[2003.89s -> 2006.09s] 一棟時候他那搞個烏針的嗎
[2006.69s -> 2010.61s] 了解之後我就真的就是因為這樣我才喜歡傷害
[2010.61s -> 2014.13s] 而且傷害他的腹架價值真的是太多了
[2014.13s -> 2015.75s] 就拿健康來說好了
[2015.75s -> 2019.49s] 像我先生以前是一個非常愛喝酒的人
[2019.49s -> 2021.29s] 敵意在去回憶你
[2021.29s -> 2022.67s] 一點來又省那天啊
[2022.67s -> 2025.01s] 都有沒有活得撞回來
[2025.01s -> 2027.37s] 那檢查了之後查發現說
[2027.37s -> 2030.87s] 他的廟算居然高雜9.9
[2030.87s -> 2033.77s] 居然說一些人就被過來
[2033.77s -> 2035.09s] 被過來找他
[2035.09s -> 2037.39s] 你習近平都愛誰又雞眼了
[2037.39s -> 2039.23s] 然後來因為傷害的因子
[2039.23s -> 2041.37s] 加上他把酒借掉
[2041.37s -> 2044.05s] 所以讓他等廟算活得到正常時
[2044.05s -> 2045.91s] 以及茫茫也讓他做健康檢查
[2045.91s -> 2047.59s] 他的廟算值都很正常
[2047.59s -> 2048.75s] 都在正常值裡面
[2048.75s -> 2053.39s] 那我在29歲那年中風
[2053.39s -> 2055.17s] 居然說真的私立
[2056.03s -> 2057.41s] 還有行動
[2057.41s -> 2059.11s] 都受到很大的影響
[2059.11s -> 2060.85s] 就跑出於不傻傻
[2060.85s -> 2062.93s] 也沒有看到就得拉美的獻子
[2062.93s -> 2065.49s] 那些人為什麼都不受我們的空秩
[2065.49s -> 2069.27s] 那種感覺真的是很無耐
[2069.27s -> 2070.85s] 還好有霜喝臉之
[2070.85s -> 2072.81s] 我即使地把霜喝臉之
[2072.81s -> 2073.83s] 即當極關了
[2073.83s -> 2074.55s] 都洗打澡掉
[2074.55s -> 2075.33s] 按�個吞淚
[2075.33s -> 2077.85s] 讓我短短一個月的時間
[2077.85s -> 2079.91s] 時間完全正常了
[2079.91s -> 2082.47s] 那一星一星一星一星一星的高宫
[2082.47s -> 2083.59s] 你不要那麼激
[2083.59s -> 2086.85s] 你這個情形最少最少也要半年
[2086.85s -> 2088.93s] 可是霜喝臉之很深篪
[2088.93s -> 2093.13s] 讓我短短一個月的時間 重複完全好了
[2093.13s -> 2096.37s] Eddie 行啦 只對楊欧報博 各上載回來
[2096.37s -> 2100.53s] 簡單 阿姨 尤其阿姨的一個對方
[2100.53s -> 2102.85s] 你可以想這個家庭會變成怎樣
[2102.85s -> 2108.71s] 所以說 想要領執 求務家能 因為想要領執吃好了
[2108.71s -> 2112.59s] 所以說 想要領執 讓我全家人得到了健康身體
[2112.59s -> 2115.33s] 不只是這樣 還有想要的環境
[2115.33s -> 2117.09s] 它是一個非常棒的環境
[2117.09s -> 2120.73s] 求務公務能按鈴 不繼續按鈴 一個做愛伯
[2120.73s -> 2124.49s] 一個做寶寶 它每天被做的功課
[2124.49s -> 2126.67s] 我們剛一點愛之後進行行行會
[2126.67s -> 2129.77s] 那該照顧哪個公 你一定要這樣喝嗎
[2129.77s -> 2131.35s] 一點按鈴 寶寶 一個公
[2131.35s -> 2133.05s] 阿伯禮別給我這個上
[2133.05s -> 2136.21s] 就是在那個環境 說它每天就
[2136.21s -> 2138.05s] 按鈴寶那鈴鈴 我在行內的狀況
[2138.05s -> 2139.43s] 後趕著有任期
[2139.43s -> 2140.49s] 那還好
[2140.49s -> 2142.79s] 來到雙側是這個環境
[2142.79s -> 2146.83s] 它自己就把那些化的習慣 全部改得該掉
[2146.83s -> 2149.75s] 握動過一起自頭螺網 自己挑進來的
[2149.75s -> 2151.09s] 所以說一個的該掉
[2151.09s -> 2152.41s] 那你趕快
[2152.41s -> 2154.07s] 那給求過體系中環境
[2154.07s -> 2156.33s] 補好過鈴 按鈴 按鈴 按鈴
[2156.33s -> 2157.97s] 在那種環境長 那
[2157.97s -> 2159.29s] 洗碼洗碼 高高 黑鈴 那
[2159.29s -> 2160.49s] 八九奶 半小米
[2160.49s -> 2163.49s] 按鈴就是因為雙側的環境 那那改變了
[2163.49s -> 2166.55s] 那現在變成一個還蠻算標準的線色
[2166.55s -> 2169.75s] 那想來子呢 姐姐高中 姐大選
[2169.75s -> 2172.23s] 因為從小 看我們在雙側的環境
[2172.23s -> 2175.47s] 在那麼積極正面的環境之下
[2175.47s -> 2177.45s] 因為那靠得短 因為這項目上回
[2177.45s -> 2178.81s] 他們都看在眼裡
[2178.81s -> 2182.41s] 一家爸爸媽媽來這上 砸家阿姨打給這項目
[2182.41s -> 2185.05s] 所以說他們很清楚的知道說
[2185.05s -> 2187.55s] 什麼事情該做 什麼事情不該做
[2187.55s -> 2191.49s] 所以說我的小孩子也還算蠻乖的 蠻貴的 蠻貴的 蠻貴的
[2191.49s -> 2194.65s] 所以我現在有一個正常的家庭
[2194.65s -> 2198.31s] 經貿正常的家庭 頂寡套 起作拍垂丟
[2198.31s -> 2201.69s] 但是在雙側就能給我一個正常的家庭
[2201.69s -> 2204.23s] 這一切都是雙側給我的
[2205.25s -> 2208.49s] 用九百塊 你看我一個家庭祖父
[2208.49s -> 2209.91s] 想明白嗎 沒要
[2209.91s -> 2213.53s] 因為我以前是做美容的改革港澳維尼啊 想明白的唯一樣
[2213.53s -> 2216.83s] 你看用九百塊改變了我的人生
[2216.83s -> 2220.71s] 而且這個機會不是只給我們家庭祖父
[2220.71s -> 2224.29s] 是給每一個想成功想犯生的一個機會
[2224.29s -> 2228.27s] 所以說用九百塊 起動你的氣圖心
[2228.27s -> 2231.85s] 加上好的抓住這個機會 兩候去行動
[2231.85s -> 2233.99s] 你的人生會因此而改變
[2233.99s -> 2238.13s] 那最後行動法
[2238.13s -> 2241.57s] 行動法是不如行動一次
[2241.57s -> 2245.59s] 最後祝大家健康平安快樂 失業成功 謝謝大家
[2252.97s -> 2256.93s] 非常感謝郵永真小姐 替我們把失業講得這麼清楚
[2256.93s -> 2260.05s] 讓我們在於熱烈的掌聲來感謝郵永真小姐
[2260.05s -> 2260.89s] 這麼棒的分享
[2263.47s -> 2265.51s] 其實聽完有小姐的分享
[2265.51s -> 2269.09s] 我會覺得真的是有一種莫名的感動
[2269.09s -> 2271.89s] 我想他講第一夜
[2272.43s -> 2274.37s] 一個成功的人生起來決定
[2274.37s -> 2275.65s] 我們當然自己來決定
[2275.65s -> 2278.03s] 這個失業讓他全是出來
[2278.03s -> 2279.27s] 這樣簡單的失業
[2279.27s -> 2280.63s] 連他這樣家庭祖父
[2280.63s -> 2282.13s] 他也可以去重視
[2282.13s -> 2283.33s] 可是一個失業的核心
[2283.33s -> 2284.83s] 我們想追求的是
[2284.83s -> 2286.75s] 他是真的自己吃產品有效
[2286.75s -> 2288.49s] 所以我們先瞭解說
[2288.49s -> 2289.53s] 是不是這個產品
[2289.53s -> 2290.79s] 真的那麼有效
[2290.79s -> 2292.65s] 今天我們特別邀請到兩位經燈
[2292.65s -> 2295.59s] 因為我想雙核有許許多多見證者
[2295.59s -> 2297.01s] 如果每位邀請上來
[2297.01s -> 2299.03s] 我們可能到明天早上還講目外
[2299.03s -> 2300.79s] 所以我們只能給兩個不好意思
[2300.79s -> 2302.97s] 今天我們非常榮幸能夠邀請到
[2302.97s -> 2304.69s] 一位減輕銳減輕的
[2304.69s -> 2306.57s] 讓他來幫我們做他愛心的分享
[2306.57s -> 2308.53s] 我們來掌聲歡迎他
[2318.69s -> 2320.67s] 台中的朋友大家好
[2321.47s -> 2324.65s] 我來自中立我性減
[2324.65s -> 2329.53s] 又想高興能在台中這個這麼棒的場所
[2329.53s -> 2333.79s] 以各位分享靈質的見證
[2333.79s -> 2337.55s] 那首先我要感謝的是我上線
[2337.55s -> 2340.77s] 請以為先生還有他的爸爸
[2340.77s -> 2343.49s] 因為有他的爸爸的員估
[2343.49s -> 2347.15s] 然後我今天才有這個機會在這邊
[2347.15s -> 2348.61s] 以各位分享
[2348.61s -> 2351.73s] 因為我這個朋友他是大廠來
[2351.73s -> 2353.71s] 還有蝴蝶放肝
[2353.71s -> 2356.93s] 而吃了雙核靈質吃的是八年多
[2356.93s -> 2358.61s] 在你會長健康
[2358.61s -> 2361.63s] 每個月就像我們推薦
[2361.63s -> 2365.33s] 那當時因為我老婆是紅班性長長
[2365.33s -> 2368.73s] 已經二十八年的非常嚴重
[2368.73s -> 2370.91s] 然後他就每個月就像我推薦
[2371.49s -> 2373.89s] 當時我們因為病那麼嚴重
[2373.89s -> 2375.43s] 不敢隨便亂吃
[2376.07s -> 2378.33s] 那當時對靈質也不了解
[2378.93s -> 2382.31s] 而我問的容總的只是一時問的三次
[2382.31s -> 2384.79s] 當時說那二四十五要吃
[2384.79s -> 2386.31s] 我結果我們不敢吃
[2386.31s -> 2388.15s] 真的不敢吃
[2388.71s -> 2391.23s] 在一百零一連五月一號
[2391.23s -> 2394.87s] 那個時候他紅班性能長的症狀非常嚴重
[2394.87s -> 2396.85s] 上到他的腎臟
[2396.85s -> 2398.87s] 導致尿斷百流失
[2398.87s -> 2400.87s] 太多一人一直隨種
[2401.91s -> 2404.69s] 那就一生說一定要住驗
[2404.69s -> 2407.19s] 那五月一號住驗開始一直檢查
[2407.19s -> 2410.03s] 檢查到五月十九號的時候
[2410.03s -> 2412.27s] 他又檢查說壞死性一臟
[2412.27s -> 2413.65s] 原來糟糕
[2413.65s -> 2416.33s] 兩個藥運的病都一起來
[2417.29s -> 2420.87s] 那個時候一生就說要緊急開刀
[2420.87s -> 2421.87s] 開刀航
[2422.45s -> 2423.83s] 那一生在開刀舟了
[2423.83s -> 2425.69s] 就像我講說要有心理準備
[2426.67s -> 2428.49s] 這個百分之死的機會
[2428.49s -> 2431.25s] 就敗了挖不大約
[2431.25s -> 2433.27s] 當時
[2433.27s -> 2434.85s] 還不要共來將行檢
[2436.17s -> 2438.83s] 那結果開刀航的時候
[2439.49s -> 2441.23s] 指甲都變黑了
[2441.23s -> 2445.11s] 整個氣觀都摔寫到歸領
[2445.11s -> 2448.13s] 住驗住了五個月出驗之後
[2448.13s -> 2451.15s] 然後我就不再問醫生了
[2451.15s -> 2455.29s] 我就說想說這位我上線的他爸爸
[2455.29s -> 2456.25s] 又來找我
[2456.25s -> 2457.09s] 我就先來講說
[2457.09s -> 2458.29s] 那你給我一些資料
[2458.29s -> 2459.85s] 我來參考看看
[2460.39s -> 2461.65s] 然後我怕資料
[2461.65s -> 2462.63s] 跨到幾個月
[2463.15s -> 2464.21s] 我其實說
[2464.21s -> 2466.25s] 雙偶靈之間的能夠
[2466.25s -> 2467.31s] 讓他的編力系統
[2467.31s -> 2468.21s] 不用正常
[2468.21s -> 2469.43s] 那這樣的話
[2469.43s -> 2471.15s] 他的病應該會好得很快
[2471.77s -> 2473.15s] 那我就像說
[2474.59s -> 2475.69s] 一百零二人
[2475.69s -> 2476.41s] 一也敵
[2476.41s -> 2477.65s] 我就決定像
[2477.65s -> 2479.35s] 決定說要來使用
[2479.35s -> 2480.45s] 是雙偶靈之
[2480.45s -> 2483.15s] 我的文貝貢貢貢貢不就用信
[2483.15s -> 2484.25s] 貢貢貢貢
[2484.25s -> 2486.07s] 請來聽說沒有拜百貢
[2486.07s -> 2487.17s] 那請貢貢貢貢貢
[2487.17s -> 2488.19s] 你賣要補貨貢
[2489.17s -> 2490.85s] 結果真的去補貨貢
[2490.85s -> 2492.05s] 靠這群貴
[2492.55s -> 2494.81s] 當天晚上我就打電話給我
[2494.81s -> 2495.77s] 那朋友說
[2495.77s -> 2497.45s] 明天趕快幫我進頭
[2498.37s -> 2499.55s] 進那個零次
[2499.55s -> 2501.55s] 一次第一次我就進了十八萬
[2504.11s -> 2504.91s] 那真的是
[2505.89s -> 2507.85s] 零次的好講不完
[2507.85s -> 2509.37s] 關謀東西
[2509.37s -> 2510.81s] 一百零二人
[2510.81s -> 2512.09s] 二月一號開始吃
[2512.09s -> 2514.19s] 到現在差不多是五個月
[2514.19s -> 2515.65s] 他紅班星
[2515.65s -> 2518.21s] 當場主是八九十
[2518.21s -> 2519.65s] 被交代貴
[2519.65s -> 2520.85s] 現在二十幾
[2520.85s -> 2522.03s] 會長好
[2522.03s -> 2524.11s] 他所有的小症狀都
[2524.11s -> 2525.67s] 很少花生過
[2525.67s -> 2527.51s] 但是這個過程很痛苦
[2527.51s -> 2528.77s] 他會有一些環境
[2528.77s -> 2530.43s] 這是正常的
[2530.43s -> 2531.69s] 環境就是零次的
[2531.69s -> 2532.73s] 他調理過程
[2532.73s -> 2534.51s] 但是今天細節
[2534.51s -> 2535.43s] 要講到環苦
[2535.43s -> 2537.75s] 我做見的沒有那麼多時間
[2538.43s -> 2540.05s] 我機會我們再慢慢
[2540.05s -> 2541.43s] 把這視訊聊清楚
[2542.61s -> 2544.55s] 那今天我老婆也有來
[2544.55s -> 2545.17s] 這邊
[2545.17s -> 2547.43s] 那出院的時候
[2547.43s -> 2549.53s] 差不多八十公斤
[2549.53s -> 2551.43s] 現在五十五公斤
[2552.21s -> 2553.33s] 本來一天
[2553.33s -> 2554.69s] 要一顆到兩顆
[2554.69s -> 2556.23s] 那個累固存
[2556.23s -> 2557.49s] 現在差不多
[2558.37s -> 2560.43s] 三四天是五天吃一顆
[2561.21s -> 2562.83s] 本來是一天要兩顆的
[2562.83s -> 2564.15s] 零鳥機有時候一顆
[2565.23s -> 2566.77s] 已經開始吃零次
[2566.77s -> 2568.45s] 第二個開始就沒有再吃
[2568.45s -> 2569.27s] 零鳥機了
[2569.27s -> 2571.31s] 他現在恢復的恢復長好
[2571.31s -> 2573.29s] 一仗的恢復恢長好
[2573.29s -> 2575.47s] 這一次是我最高興的地方
[2575.47s -> 2577.11s] 然後第二個見證是
[2577.11s -> 2579.47s] 要講我自己後
[2579.47s -> 2581.33s] 我吃了降血腰的腰
[2581.33s -> 2582.81s] 吃了十年
[2582.81s -> 2584.15s] 因為有三高的問題
[2585.53s -> 2586.27s] 第一點
[2586.27s -> 2587.71s] 第二點是吃一顆
[2588.61s -> 2591.07s] 第三點開始吃兩顆
[2591.07s -> 2592.85s] 比蒙蒙的後期的
[2592.85s -> 2594.99s] 我跟那零零零零駕駛
[2594.99s -> 2597.03s] 那下方的朋友在家
[2597.03s -> 2598.13s] 三岸岸沒有駕駛
[2598.13s -> 2600.51s] 我的三高算怎麼對不對
[2600.51s -> 2603.11s] 那我就開始吃了吃包養
[2603.11s -> 2604.07s] 早晚吃了
[2604.79s -> 2607.57s] 那我一定三三是
[2607.57s -> 2609.07s] 早晚各一杯
[2609.69s -> 2611.87s] 那個蛋白素加高血
[2611.87s -> 2612.57s] 這樣子
[2612.57s -> 2614.45s] 我吃了三個月
[2614.45s -> 2616.51s] 我高血腰的要吃了十年
[2617.39s -> 2618.39s] 三個月
[2618.39s -> 2619.89s] 我明年高血腰
[2619.89s -> 2623.35s] 我基本上一鍋我也沒想高血腰
[2623.91s -> 2625.49s] 真的是非常高興
[2625.49s -> 2628.89s] 那更高興的是我今年六十七歲
[2629.75s -> 2632.89s] 那我的七觀年齡42歲
[2633.61s -> 2634.91s] 真的很高興
[2634.91s -> 2636.77s] 這是維莉定跟零零零的功效
[2636.77s -> 2638.13s] 真的會賞好
[2638.13s -> 2640.19s] 那零零零要講到晚間的十年太久
[2640.19s -> 2642.71s] 以後有機會再以各位分享
[2642.71s -> 2645.81s] 那接下來我特別要感謝的是我的上線
[2645.81s -> 2647.25s] 前一位先生還有
[2647.25s -> 2649.33s] 就算鄧志倫他們每個月
[2649.33s -> 2650.91s] 每個禮拜都到我家
[2650.91s -> 2654.07s] 他幾位就要找我一些東西這樣子
[2654.07s -> 2655.33s] 然後我要先
[2655.33s -> 2657.25s] 還要更感謝的是
[2657.25s -> 2659.01s] 陳老師跟師母
[2659.01s -> 2660.83s] 因為我所有資料
[2660.83s -> 2663.29s] 陳老師間接
[2663.29s -> 2667.67s] 那邊當然拿過來給我看的
[2667.67s -> 2669.13s] 所以會賞感謝我的上線
[2669.13s -> 2670.17s] 謝謝各位
[2670.17s -> 2672.17s] 謝謝各位
[2676.79s -> 2679.47s] 六十七歲的簡線上
[2679.47s -> 2681.73s] 真的中氣十足
[2681.73s -> 2684.65s] 所以我發現在吃零隻每一個人
[2684.65s -> 2686.51s] 都是有一段他們的故事
[2686.51s -> 2687.59s] 那也很感動
[2687.59s -> 2689.67s] 能夠救到周邊的人
[2689.67s -> 2692.29s] 尤其是能夠洗手相伴你被子的人
[2692.29s -> 2693.81s] 當然零隻絕對不是說
[2693.81s -> 2694.93s] 年章子的特性
[2694.93s -> 2697.17s] 接下來為我們分享的愛心精神者
[2697.17s -> 2698.95s] 是來自於為臺中
[2698.95s -> 2701.03s] 北囤的增富云增小姐
[2701.03s -> 2701.69s] 他就很年齡
[2701.69s -> 2702.83s] 我們來聽聽他的分享
[2702.83s -> 2703.95s] 老師歡迎他
[2711.51s -> 2714.05s] 臺中的各位活潑大家好
[2715.11s -> 2716.35s] 我是增富云
[2716.35s -> 2718.25s] 我來自臺中北囤
[2718.25s -> 2720.91s] 那今天在這邊是要分享
[2720.91s -> 2721.91s] 就是我母親
[2721.91s -> 2724.21s] 不用賞喝零隻的漸震
[2724.21s -> 2725.95s] 那我母親他今年60歲
[2726.59s -> 2728.87s] 那他是家族性的糖尿餅
[2728.87s -> 2730.67s] 就是除了我母親之外
[2730.67s -> 2731.91s] 就是還有我
[2731.91s -> 2732.87s] 我還有四個阿姨
[2732.87s -> 2734.99s] 他也都是在50歲的時候
[2734.99s -> 2736.57s] 都陸續被檢查出
[2736.57s -> 2737.81s] 說就是寫糖果糕
[2737.81s -> 2739.35s] 有糖尿餅的狀況
[2739.35s -> 2740.61s] 那我媽媽的話
[2740.61s -> 2742.77s] 他是狀況算是跟其他阿姨
[2742.77s -> 2743.99s] 比算是中等
[2743.99s -> 2745.61s] 他的飯前寫糖
[2745.61s -> 2746.87s] 大概都是200多塊
[2747.39s -> 2748.87s] 其實有時候快快接近300
[2749.53s -> 2751.09s] 那其實在我的觀念
[2751.09s -> 2751.87s] 就是覺得說
[2751.87s -> 2752.69s] 就是生病
[2752.69s -> 2754.17s] 就是只能看醫生
[2754.17s -> 2756.01s] 就是吃飢要去控制
[2756.01s -> 2758.21s] 所以我常常就是只能丁寧我媽媽說
[2758.21s -> 2759.63s] 要記得吃藥
[2759.63s -> 2761.17s] 就是記得吃飢藥
[2761.17s -> 2762.33s] 然後去控制寫糖
[2762.33s -> 2763.99s] 然後要記得多運動
[2763.99s -> 2765.23s] 然後要記得回正
[2765.23s -> 2766.85s] 我就只能做到這些
[2766.85s -> 2768.71s] 然後還有特別就是丁寧
[2768.71s -> 2769.69s] 他飲食
[2769.69s -> 2771.47s] 可是因為他很喜歡吃飯
[2771.47s -> 2772.65s] 就是吃粥
[2772.65s -> 2773.75s] 然後還有麵包
[2773.75s -> 2775.87s] 那這兩樣都是會讓寫糖
[2775.87s -> 2776.81s] 快速升高
